Web_ID,Region_of_Incident,Reported_Date,Reported_Year,Reported_Month,Number_Dead,Minimum_Estimated_Number_of_Missing,Total_Dead_and_Missing,Number_of_Survivors,Number_of_Females,Number_of_Males,Number_of_Children,Cause_of_Death,Location_Description,Information_Source,Latitude,Longitude ,Migration_Route,URL,UNSD_Geographical_Grouping,Source_Quality
44104,US-Mexico Border,"January 21, 2018",2018,Jan,5,0,5,0,0,5,0,Exposure,"Lasater Ranch, Brooks County, Texas, USA",South Texas Human Rights Center,27.1941061,-98.0548259,Central America to US,Not Available,Northern America,4
44106,Mediterranean,"January 21, 2018",2018,Jan,1,0,1,0,0,1,0,Presumed drowning,"Body washed up in Qarapoli, Libya",IOM Libya,32.7912611,13.7360765,Central Mediterranean,Not Available,Uncategorized,4
44103,Mediterranean,"January 20, 2018",2018,Jan,2,0,2,34,0,0,0,Drowning,"10 miles west of Alboran Island, Spain","Salvamento Marítimo, Caminando Fronteras, eldiario.es, Público",35.9405764,-3.121201466,Western Mediterranean,"http://bit.ly/2DX0hx7, http://bit.ly/2DwuI0a, http://bit.ly/2BjAD2P, http://bit.ly/2DuEMXx",Uncategorized,5
44105,Europe,"January 20, 2018",2018,Jan,1,0,1,0,0,1,0,Hit by train,"Train tracks near Balerna, Canton Ticino, Switzerland, near border with Italy","Servizio Informazione Religiosa, Radiotelevisione svizzera, Ticinonews",45.8484251,9.0077495,Unknown,"http://bit.ly/2DwqmlP, http://bit.ly/2E9doLM, http://bit.ly/2DFy6pF",Western Europe,3
45796,US-Mexico Border,"January 20, 2018",2018,Jan,1,0,1,0,0,0,0,Unknown (skeletal remains),"Isabella Ranch, Brooks County, Texas, USA",South Texas Human Rights Center,27.1144162,-98.4270255,Central America to US,Not Available,Northern America,4
50847,North Africa,"January 20, 2018",2018,Jan,2,0,2,0,0,2,0,"Suffocation, Excessive Physical Abuse","Sahara desert, near Abu Hamad, Sudan",Mixed Migration Monitoring Mechanism Initiative (4mi),19.827565,33.345944,Unknown,http://www.mixedmigration.org/4mi/,Northern Africa,2
44631,US-Mexico Border,"January 19, 2018",2018,Jan,1,0,1,0,0,1,0,Unknown (skeletal remains),"Pima County, Arizona, USA",Pima County Office of the Medical Examiner,32.014058,-112.1044063,Central America to US,http://www.humaneborders.info/app/map.asp,Northern America,5
44651,US-Mexico Border,"January 19, 2018",2018,Jan,1,0,1,0,0,1,0,Exposure,"900 Mebus Road, east of Tornillo port of entry, El Paso County, Texas, USA",KFOX14,31.44346187,-105.9942578,Central America to US,http://bit.ly/2tEfaD1,Northern America,1
50845,North Africa,"January 19, 2018",2018,Jan,1,0,1,0,1,0,0,"Starvation, Dehydration","Sahara desert, Sudan",Mixed Migration Monitoring Mechanism Initiative (4mi),20.668766,25.704798,Unknown,http://www.mixedmigration.org/4mi/,Northern Africa,2
50846,North Africa,"January 19, 2018",2018,Jan,3,0,3,0,0,3,0,Shot or stabbed,"Sabha, Libya",Mixed Migration Monitoring Mechanism Initiative (4mi),27.017461,14.435957,Unknown,http://www.mixedmigration.org/4mi/,Northern Africa,2
44102,Middle East,"January 19, 2018",2018,Jan,16,0,16,6,8,6,2,Hypothermia,"Masna'a, Lebanon, near the border with Syria","UNHCR, The National, The Daily Star Lebanon, AFP, Anadolu Agency, EFE",33.68894989,35.97018398,Unknown,"http://bit.ly/2BiHI3G, http://bit.ly/2mUzlq1, http://bit.ly/2n29n4v, http://bit.ly/2mYXuLW, http://bit.ly/2DZBwQU, http://bit.ly/2rzloU3",Western Asia,4
44101,Central Asia,"January 18, 2018",2018,Jan,52,0,52,5,0,0,0,Bus fire,"Aktobe region, Kazakshtan, near the border with Russia","Reuters, EurasiaNet, Asia News",49.06485408,57.8601087,Unknown,"http://reut.rs/2DCMIW7, http://bit.ly/2G81Byc, http://bit.ly/2Bk7rZz",Central Asia,3
50841,North Africa,"January 18, 2018",2018,Jan,1,0,1,0,0,1,1,Sickness and lack of access to medicines,"Sahara desert, Sudan",Mixed Migration Monitoring Mechanism Initiative (4mi),19.637414,26.623192,Unknown,http://www.mixedmigration.org/4mi/,Northern Africa,2
50842,North Africa,"January 18, 2018",2018,Jan,2,0,2,0,2,0,0,"Starvation, Dehydration, Harsh weather/lack of adequate shelter","Sahara desert, Libya",Mixed Migration Monitoring Mechanism Initiative (4mi),24.482149,13.879626,Unknown,http://www.mixedmigration.org/4mi/,Northern Africa,2
